train_nitrate,train_water,test_nitrate,test_water
0.0041,0.0111,0,0
0.0046,0.0149,0,0
0.0037,0.0147,0,0
0.0033,0.0165,0,0
0.0039,0.0209,0,0
0.0033,0.0188,0,0
0.0016,0.0093,0,0
0,0,0,0
0.0009,0.0058,0,0
0.0047,0.0305,0,0
0.0021,0.0148,0,0
0.0016,0.0124,0,0
0.0018,0.0135,0,0
0.0011,0.0087,0,0
0,0.0002,0,0
0,0,0,0
0,0,0,0
0,0,0,0
2.0704,2.6151,0,0
3.502,3.8788,0,0
0.7302,0.7659,0,0
1.0113,1.5614,0,0
7.001,11.5957,0,0
4.697,8.3483,0,0
3.3596,6.0033,0,0
0.4935,0.8866,0,0
0.0574,0.1037,0,0
0.0002,0.0009,0,0
0,0,,
0,0,,
0,0,,
0,0,,
0.0064,0.033,,
0.0158,0.0586,,
0.0357,0.0945,,
1.8045,3.8942,,
3.6983,6.9626,,
0.2534,0.6034,,
0.0843,0.2074,,
0.0885,0.2258,,
0.101,0.2973,,
2.1633,5.325,,
2.4867,6.3966,,
0.3706,1.0064,,
0.1386,0.4013,,
0.0823,0.2894,,
0.0624,0.2796,,
0.0432,0.2167,,
0.037,0.2016,,
0.025,0.1418,,
0.0202,0.1195,,
0.0221,0.135,,
0.0178,0.1086,,
0.0114,0.0541,,
0.0323,0.1226,,
0.0355,0.1148,,
0.0476,0.1306,,
0.0782,0.188,,
0.1606,0.3446,,
0.2759,0.5241,,
2.3268,4.1443,,
0.6492,1.1125,,
0.1521,0.3294,,
0.0819,0.2298,,
0.0807,0.2495,,
0.0806,0.2542,,
0.0606,0.1908,,
0.0337,0.1261,,
0.0217,0.1012,,
0.02,0.1032,,
0.0126,0.0704,,
0.0133,0.0769,,
0.0189,0.1122,,
0.0187,0.1143,,
0.0121,0.0795,,
0.0091,0.0656,,
0.0168,0.1056,,
0.0263,0.1409,,
0.0218,0.1096,,
0.0174,0.0875,,
0.0219,0.0906,,
5.4074,7.8029,,
2.9392,4.663,,
1.1981,2.0227,,
0.9224,1.6248,,
0.7972,1.4224,,
0.4956,0.9028,,
0.7309,1.4008,,
0.8257,1.6086,,
0.4435,0.8763,,
0.5725,1.0766,,
1.1159,2.027,,
1.3243,2.3886,,
1.2338,2.1375,,
1.07,1.7236,,
0.8512,1.3396,,
5.4833,9.452,,
1.9538,3.2967,,
1.2038,2.0102,,
3.6387,10.6148,,
1.8156,4.7005,,
1.1988,2.6526,,
0.8442,1.7095,,
0.4959,1.0102,,
0.2862,0.577,,
0.2596,0.4324,,
0.2236,0.3258,,
0.1535,0.278,,
0.1199,0.2829,,
0.1349,0.2597,,
1.2995,4.577,,
0.8199,2.5166,,
0.5021,1.3133,,
0.6801,2.8352,,
2.3272,7.7183,,
0.6653,1.8613,,
0.7403,2.2411,,
2.5863,12.7679,,
0.7843,3.4123,,
0.642,1.7789,,
0.6599,1.6459,,
0.5513,1.2984,,
0.4318,1.0203,,
0.3252,0.8435,,
1.9172,7.0136,,
0.8993,3.2866,,
